dcterms:title,dcterms:abstract,nlon:keyword,length
忠州財務官報告,雜報●忠州財務官報告         〔續〕    日本人及歐美人의 經營邑內에 淸國雜貨商이 三十餘名이오 各邑의 近傍에 二個寺院이 有니 一은 美人、  一은 英人忠州敎寺支院이라고 日本人은 郵便局人六名、雜貨商人四名、典當局人一名、語學敎師一名이오 又郡守 敎育의 急務를 認야 學校를 設立고 京城에셔 敎師를 雇聘야 日本尋常高等小學校의 制度로 開校얏 目下敎師 四人이오 生徒 二百餘名이니 年齡이 七八歲붓터 二十五歲에 至고 愈益興旺야 校舍가 狹隘고 又鳥致院市 京釜鉄道停車塲이 有 處니 日本人의 居住 者가 五十餘名內에 二十名은 驛員及巡查郵便局員이오 其他 數萬의 資金으로 貸金거나 或은 土地를 求買야 農業을 目的하 者도 有고 穀物의 貿易을 爲業 者도 有나 元來此市塲은 淸州에 聚集얏던 商品이 総히 此地에 來集야 釜山及京城에 輸出고 慶北江原忠北에 輸入 物品은 総히 此地에 下車되 市塲의 設置가 完全치못고 且錢荒으로 市塲의 繁盛치못과 民間金融의 圓滿치못이 遺憾이라얏더라                        （完）,사회; 기사,534
殖民于韓國西伯利,⊙（殖民于韓國西伯利）日本進步黨中有名 政客이 外交部會 開하고 討議하 大石正已氏가 殖民政策에 就하야 演說 其大要에 曰殖民上에 政治的殖民、自然的殖民의 二種이 有하니 日本갓치 人口繁殖하 國에 在하야 政治家가 今日지 殖民政策을 講究치아님은 眞可謂不稱其職이라 盖殖民은 個人을 利하고 國家 利하대 缺치못 者이니 是 奬勵하면 利益이 有二니 一은 本土의 利益이오 二 殖民地의 利益이라만일 此를 反야 人口繁殖 國에서 移民策을 不取면 其害有三니 卽其國의 物產이 人口繁殖과 同肩치못즉 無資力者ㅣ增加야 人智 發達치못것이오 其次 犯罪者가 增加것이오 又其次 衛生의 事ㅣ行치못것이니 然則我國은 何處에 殖民地 選擇여야 可지 美國도 好고 歐羅巴도 可되 余 韓國支那西伯利로써 最尤適當쥴노 信 中韓國及西伯利가 最上이라노라 今에 日人을 俄領에 送야 日俄兩國의 感情을 疏通기 爲야 移民은 尙置勿論고 一層을 更進야 日人을 俄國에 歸化케이 可니 今後에크게 殖民方針을 取야 我國의 産物을 海外에 輸出 媒介者로이 宜다고얏더라,사회; 기사,542
慶尙北道管下各郡治績,慶尙北道管下各郡治績尙州郡守安學柱 未赴任 ○慶州 未差 ○大邱柳承榮 聽理必簡束濕宜嚴役完川防躬檢日勤 ○星州金甲洙 久曠巨局始逢長官嚴勵自持奸猾知戢 ○義城金榮灝 明於査逋嚴此刷納吏頑可懲民頌是蔚 ○永川李章鎔 治之先務所【示+貴】實心官收排穀民誦均買 ○安東宋鍾冕 役鉅橋堤用節捐廩躬檢市米分升均斗隨事措劃合試大處 ○醴泉 未差 ○金山李海成 歲値歉荒念切救濟 ○善山閔丙星 未赴任 ○淸道李載紀 干囑不行剖決如流偏被災荒咸頌捐賑 ○靑松李世永 未赴任 ○仁同閔明植 禁技戢酗旣聞申令減布抄賑是爲子惠 ○寧海李喆和 未赴任 ○順興朴珉榮 不報先行倘由公納 ○漆谷徐丙緯 事簡本郡治優兼務捐金減布三洞齊頌 ○豊基金鍾仁 殘枰災歲小心做治 ○盈德朴文琥 局獘吏頑老猶自勵 ○龍宮張龍煥 民不訴寃公不愆納百里爲治一副成規 ○河陽尹奎善 聽於斯民咸曰我侯行何德政頌播兼郡 ○榮川李丙默 因獄犯網處義深單民恐或失抱狀紛訴 ○奉化李丙儀 未赴任 ○淸河 未差 ○眞寶李鳳稙 未赴任 ○軍威張漢基 半載爲治一境有譽 ○義興李弼永 寬嚴互濟吏民咸服部院兩納刷捧亦勞 ○新寧吉民益 未赴任 ○延日朴珉準 未赴任 ○禮安柳浩榮 政令施措益當謹愼 ○開寧趙東璿 修舘而勞於董役築堰而優此助費 ○聞慶金永年 未赴任 ○知禮安璋遠 未赴任 ○咸昌張錫五 不斂繕廨亦勞兼務莫云衰邁尙許剛核 ○英陽 未差 ○興海趙重翊 懸鼓而訟無留滯巡閭而技自禁戢 ○慶山李啓弼 瑕無可指治固自如 ○慈仁李寅兢 ◈纔由行衆望遄歸 ○比安林秉斗 未赴任 ○玄風尹羲淳 官吏爭利府郡交訴 ○高靈朴炳翌 校土之還退場市之分設縱◈歧說寔由公議 ○長鬐文昌錫 饗老養◈是云實蹟路過兼郡民何羣聚,기사; 정치,721
A DISPUTE IN THE TEA TRADE. LONDDN,"A DISPUTE IN THE TEA TRADE. LONDDN, July 4. A meeting of the Tea-growers Association of London, in endorsing the report of the Joint Committee of the Indian and Ceylon Associations, resolved that after the 17th inst. the one pound draft allowance should not be made. The Tea-dealers Association thereupon called a meeting, at which it was resolved not to attend sales nor to buy tea privately (while this condition was maintained). The tea dealers have convened a mass meeting of the trade to conside further action",기사; 정치,515
젼 동복군슈 최쥰샹씨,○젼 동복군슈 최쥰샹씨 인픔이 영특고 예가 츌즁야 가히 만군를 거려 일국에 쟝셩이 될듯 거늘 졍부에셔 아즉 시험 랴고 을미년 분에 군 군슈로 보내엿 맛 동학 란리를 지내여 셩이 환신즁이라 최씨가 친히 민간에 슌야 혹 집이 업셔 살수 업 셩이면 다 관항으로 지어 쥬며 궁츈을 당야 쥬린 셩이 잇스면 과 돈으로 다 진휼야 살도록 엿스면 공젼을 슈쇄 되  파슈에 돈 몃양식 일 야 셩의 힘 펴이로 밧으되 셰젼 건납이 되지안이 며  션를 권면야 무론 외국 학문 고 각히 셩 되도록 니 송경이 쟈쟈 야 셩들이 불으기를 보모라 더니 최씨가 그부친의 상를 당야 죨디에 치을 차려 올나오 그런 쳥렴 관쟝으로 조잔 고을에 잇셔 무 치 돈이 넉넉 리오 그 고을 오계련이라  사의게 돈 몃량을 야 쓰고 올나 온후 오모가  그 고을 원이 된지라 최씨의게 취여 준 채를 공젼으로 칭탁야 밧으랴고 최씨와 샹힐  즁이라 더라,사회; 기사,510
地方消息,▲十二日尙州來報를 據즉 同日該郡化寧場에셔 義兵三百名이 會集야 日兵과 戰鬪中인 義兵의 死傷이 拾六名이 發見얏다고▲七日에 楊根楡木洞附近에셔 義兵七十名이 日兵를 遭遇야 交戰다가 義兵은 北方으로 退却하고 日隊 八日에 該附近山頂을 占領고 更히 同日夜에 麟蹄를 占領얏 該郡龍下洞에셔 義兵二十名과 交戰하얏고 十日該郡九萬里附近에셔 義兵約二百名과 交戰다가 義兵은 原州方面으로 退却얏다고▲十日華川東方約十里渡場附近에셔 義兵約七十名이 日守備隊로 一時間을 交戰다가 義兵은 松巨里山中으로 退却엿다하고▲十二日발春川電을 據則六日該郡淸平洞에셔 義兵이 日兵과 交戰다가 義兵은 退却고 九萬里附近에셔 義兵五百名이 在고 同邑內에 義兵五十名이 宿泊다가 日兵과 衝突얏대 死傷이 有다고 日兵이 民家二十五戶 衝火하엿고 原州附近에셔 義兵三百名과 交戰얏다고▲拾二日安山附近에셔 義兵과 日兵이 忽地相遭야 二時間을 交戰다가 義兵은 退却하얏다고▲拾日永春郡內面威谷里에 集合 義兵二百名內에 解散兵拾名이 혼雜하얏대 日警部一行과 交戰二時間 後에 義兵은 退却고 日警部 民家二拾戶 燒하얏다더라,사회; 기사,557
地方消息一通,●地方消息一通△本月十一日에 慶尙南道新寧守備隊日兵이 梧村附近에셔 義徒二十名과 交戰얏다고△本月十四日에 聞慶守備隊日兵이 太田에셔 義徒六十名과 交戰얏다고△本月七日에 醴泉及榮川守備隊日兵이 川坪里에셔 義徒李康年部長朴某等百五十名과 交戰얏다고△本月十一日에 朔寧守備隊日兵이 安峽東北方에셔 義魁尹甫文等과 交戰얏다고△本月九日에 驪州分遣隊가 味谷面益壽洞에셔 義徒  名과 交戰얏다고△本月十四日에 抱川守備隊日兵이 新洞里에셔 義徒五十名과 交戰얏다고△本月十六日에 江原道升林分遣所에 義徒가 來襲야 日兵과 交戰얏다고△靈岩守備隊日兵이 該地東方에셔 義徒百名과 交戰얏다고△本月五日에 河東守備隊日兵이 月楹附近에셔 義徒八十名과 交戰얏다고△古阜守備隊가 本月十六日에 茂長南方에셔 義徒百七名과 交戰고 同十五日에 靈光南方에셔 義徒三十名과 交戰얏다고△本月十一日에 慶尙南道立石守備隊가 義徒八十名과 交戰얏다고 沔川分遣所日兵이 該地東北方에셔 義徒二十名과 交戰얏다고△本月十日에 交河分遣所日兵이 葛峴里附近에셔 義徒二十名과 交戰얏다더라,사회; 기사,517
叙任及辭令,○叙任及辭令  ○七月十六日財務監督局主事加藤牧夫  任度支部主事叙判任官二等△臨時財源調查局主事吉田外喜太郞  任度支部主事叙判任官三等△臨時財源調查局主事園部剛二郞  任度支部技手叙判任官三等△臨時財源調查局主事林富雄  任度支部主事叙判任官四等△臨時財源調查局主事桂基資  任度支部主事叙判任官四等△臨時財源調查局主事兼度支部主事杉浦齊  任度支部主事叙判任官四等△臨時財源調查局主事李喜鎭  任度文部主事叙判任官四等○七月十八日任郡主事叙判任官四等  九品金東鎭  七月二十二日財務署主事永谷重治  任財務監督局主事叙判任官四等△財務署主事進藤壽槌  任臨時財源調查局主事叙判任官四等△任財務署主事叙判任官四等李喜鶴△任稅關主事叙判任官四等永田▣治△古賀喜久治  澄田収藏橋本邦太郞  任稅關監吏叙判任官五等○七月二十三日任臨時財源調查局主事叙判任官四等西田金一郞○七月二十四日任臨時財源調查局主事叙判任官四等松浦禁鐵○七月二十五日任財務監督局主事叙判任官四等  財津永季○七月二十九日九品金鍾權  任官立漢城外國語學校書記叙判任官四等免本官  臨時財源調査局技手金弻柱右 臨時財源調查局長의 四九五號報告를 據查즉 該員이 平壤出張所에 在勤인바 業務를 不勤고 品行이 不正이기 是以免本官    七月十日依願免本官  郡主事姜萬永    七月二十一日依願免本官  財務署主事朴光禧依依免本官  財務署主事金翊道    以上七月二十二日兼補中部警察署長  警視廳第一課長警視永谷隆志△兼補東部警察署長警視廳第二課長警視濱島尹松    以上七月二十九日裁判所繙譯官補松尾茂吉  補京城區裁判所繙譯官補    七月三十日,정치; 기사,717
北間島視察 李範允氏 報告書에,別報◎北間島視察 李範允氏 報告書에 對하야 內部地方局長代辦 禹用鼎氏가 意見書를 提呈은 本報에 已說하얏거니와 本月十一日에 內部大臣臨時署理 金奎弘氏가 上奏하야 蒙裁한 全文이 昨日 官報에 揭載하얏기로 玆又轉佈하노니議政府贊政內部大臣臨時署理議政府參政臣金奎弘謹奏北墾島卽韓淸交界而因爲空曠于今數百年矣粤自數十年以來北道沿邊各郡我民之移住該地耕食居生者今爲數萬戶十餘萬生靈而酷被淸人之侵漁故上年自臣部派送視察李範允使之宣布皇化調査戶口矣今接該視察李範允報告書內槩淸人之虐待我民難以枚陳另加下燭卽爲移照外部與淸公使詰辦以防淸員之虐待亦爲建官設兵以慰島民感化望生等因而爲先編籍修報者爲一萬三千餘戶矣據此査報則我國寓民之居生此土者已爲數十年之久而尙未設官保護許多生靈無所依賴一任淸員之凌踏其在綏遠之道未免疎忽先自外部與淸公使商辦後文移該地方附近官員俾勿得勒加薙髮法外虐待至於疆界論之在前分水嶺定界碑以下土門江以南區域固當確定我國界限執結定稅而數百年空曠之地遽爾妥定似涉張大則不可不姑先特寘保護官亦依該島民等情願仍使視察李範允特差管理住箚該島專管事務俾保生命財産以示朝家懷保之意何如謹上 奏 光武七年八月十一日奉 旨依奏,사회; 기사,514
勅令第十三號  〔續〕,○勅令第十三號  農工銀行條例〔續〕第三條  農工銀行은 左開事業을 營하 者로이라  一  年賦又 定期償還의 方法에 依하야 不動產을 典當삼아 貸付이라  二  法令으로 組織된 公共團軆에 對하야 無典當으로 前項의 貸付이라  三  二十人以上의 農業者又 工業者가 議論後連帶責任으로 借用을 申出 時 其信用의 確實 者로 限하야 五個年以內에 在하야 定期償還의 方法에 依하야 無典當으로 貸付이라第四條  前條의 貸付를 或은 左開事項에 使用 者로 限이라  一  開墾排水灌漑及耕地土質의 改良  二  耕作道路의 築造又 改良  三  殖林事業  四  種苗肥料其他農工業用原料의 購入  五  農工業用의 器具機械舟車獸畜의 購八  六  農工業用建物의 築造又 改良  七  前各項外農工業의 改良第五條  農工銀行에셔 不動產典當을 徵 時 総히 第一典當됨을 要 但舊債가 有 境遇에 在하야 農工銀行에셔 借入 新債로 其舊債를 償還 効果로 依하야 新債의 第一典當됨을 得 時에 此限에 在치아니이라第六條  農工銀行에셔 典當으로 徵 土地 永續만 確實 収益의 豫量이 有 者로 限이라第七條  不動產을 典當삼아 貸付 金額은 農工銀行에셔 鑑定 價格의 三分之二以內로이라第八條  年賦金은 元金과 利子를 併하야 此를 計筭하고 各年을 通하야 一定平等의 償還額을 定이 可이라  但旣定 償還額을 超過 返償을하고져 時에 此限에 在치아니이라第九條  貸付金의 年賦償還에 對하야 一個年以上五個年以內로 仍置年限을 定이 可이라  但其年限間의 利子 此限에 在치아니이라第十條  債務者가 年賦金定期償還金又 利子의 辦納을 遲延 時에 辦納期日의 翌日붓터 其金額에 對하야 利子를 支撥 義務를 擔負이라第十一條  債務者 借用金의 五分之一以上을 償還 時 其比例를 應하야 典當物一部의 觧除를 要求을 得하고 其殘額에 對하야도 亦同이라                      〔未完〕,기사; 정치,939
