dcterms:title,dcterms:abstract,nlon:keyword,length
敍任及辭令,官報●敍任及辭令任內部參書官敍奏任官六等 度支部財務官 吳在豊 ○中樞院議官 李晩榮 仝 徐榮淑 仝 吳秉權 仝 李翊鎬 仝 安學洙 依願免本官 ○正三品 沈宜溶 六品 林成喆 九品 閔琮鎬 仝 金炳玉 仝 李斗用 任中樞院議官敍奏任官六等   以上八月十九日永禧殿令 閔泳完 通信司電話課主事 林準煕 仝 朴慶喆 仝 趙命周 仝 柳東振 仝 李錫贊 管理署主事 尹鼎烈 仝 洪鳳洙 仝 金然旭 仝 余恒源 仝 白洛鎬 仝 盧興植 仝 金夢弼 仝 金永奎 仝 金益鉉 仝 金貞涉 仝 金昇吉 仝 崔致浩 仝 金政魯 仝 安基遠 慶基殿參奉 安東弼 崇靈殿參奉 申義燮 箕子陵參奉 金炳淳 仝 申允億 城津監理署主事 韓泰會 扶餘郡守 金甲淳 穩城郡守 權宅洙 龍潭郡守 崔永運 龍安郡守 金商燮 英陽郡守 尹寓善 懷德郡守 金閏煥 萬頃郡守 李東範 始興郡守 金永雲 三和郡守 閔泳卨 永平郡守 李峻奎 鎭南郡守 金永珪 靈山郡守 吳悳根 江陵郡守 朴嵎陽 茂朱郡守 李翼鎬 固城郡守 李完洙 依願免本官 ○任永禧殿令敍判任官五等 太僕司主事 金敎憲 ○任太僕司主事敍判任官六等 社稷署令 趙命煕 ○任社稷署令敍判任官七等 六品 閔泳完 ○李敏商 曹東煥 金鎭瑩 崔台泳 金箕八 黃煕淵 吳道謙 金采奎 金基煜 金元煕 申錫柱 朴勝燮 金仁濟 李樂善 任管理署主事敍判任官八等 ○任慶基殿參奉敍判任官八等 李鴻來 ○任崇靈殿參奉敍判任官八等 九品 金元學 ○九品 李應麟 仝 金寬斗 任箕子陵參奉敍判任官八等 ○李鍾洛 閔麟鎬 李相天 李重英 鄭致亨 金思鼎 彭啓鳳 姜昇奎 閔夏植 鄭在殷 閔庸植 余相運 景在會 盧近壽 金秉煥 姜丙秀 金敦煕 金樣水 任通信司電話課主事敍判任官八等 ○任城津監理署主事敍判任官六等 李用珪   以上八月二十日任議政府贊政敍勅任官一等 宮內府協辦 趙鼎九 ○侍衛第一聯隊砲兵第一大隊中隊長陸軍砲兵正尉 南順喆 親衞第一聯隊第三大隊餉官陸軍一等軍司 申斗煕 親衛第一聯隊第三大隊附陸軍步兵副尉 李秉純 鎭衞第二聯隊第三大隊副官陸軍步兵副尉 尹鎬 鎭衛第二聯隊第三大隊中隊長陸軍步兵正尉 金潤昌 鎭衞第四聯隊第一大隊餉官陸軍二等軍司 李秉濬 鎭衛第五聯隊第一大隊中隊長陸軍步兵正尉 李建祥 命休職 ○侍衞第一聯隊第一大隊附陸軍步兵參尉 沈相煕 侍衛第一聯隊第二大隊附陸軍步兵副尉 李象宇 侍衛第一聯隊第三大隊附陸軍步兵副尉 張錫會 侍衞第一聯隊砲兵第一大隊附陸軍砲兵副尉 金相說 親衞第一聯隊第一大隊附陸軍步兵副尉 李東鉉 親衛第一聯隊第三大隊附陸軍步兵副尉 韓弼相 鎭衞第一聯隊第一大隊附陸軍步兵參尉 太源燁 鎭衛第二聯隊第三大隊附陸軍步兵副尉 李在漢 鎭衛第四聯隊第一大隊附陸軍步兵副尉 韓璟燦 鎭衛第四聯隊第二大隊附陸軍步兵副尉 具駿書 仝 陸軍步兵參尉 崔東燮 仝 金錫禹 鎭衛第五聯隊第二大隊附陸軍步兵參尉 沈相烈 免本職 ○免本官 宮內府特進官 洪承憲 ○正二品 朴容大 慶尙南道觀察使 李載現 命宮內府特進官敍勅任官三等 ○命宮內府協辦敍勅任官三等侍講院詹事 閔泳璘 ○任主殿司長敍奏任官五等 從一品 朴大鏞 ○兼任平式院摠務課長 學部醫學校長 池錫永 ○慶尙北道觀察使 李根敎 任全羅南道觀察使敍勅任官三等 ○任慶尙北道觀察使敍勅任官三等 從二品 李聖烈 ○任慶尙南道觀察使敍勅任官三等 副將 李允用 ○任內部地方局長敍奏任官一等 從二品 金容鎭 ○任仁川港警務官敍奏任官六等 正三品 金學植 ○任三和港警務官敍奏任官六等 正三品 吉仁洙   以上八月廿一日,정치; 기사,1503
Affairs are moderately quiet in Great Britain. Parliament is still enjoying,"Affairs are moderately quiet in Great Britain. Parliament is still enjoying its Christmas Holidays whilst the cold weather has evidently damped some of the ardour of the suffragettes as for nearly four weeks they have not assaulted a policeman or a Cabinet Minister. Many important measures await the House of Commons when it meets within a few weeks; and it is possible that the coming session may witness a determined attack on the House of Lord and eventually, a General Election; as the Prime Minister has definitely stated that the Government will stand or fall in its determination to reform the Lords. Speaking candidly, we think it is far more lkely to fall than stand. It is a ticklish business to meddle with the British Constitution. It has been tried before; and disaster has always followed the attempt",기사; 정치,815
度支部 第五號 歲入歲出處理順序 [續],"別報●度支部 第五號歲入歲出處理順序 [續]第二十四條 領受人이 前條에 依야 出給命令을 受 時 該命令에 記載 金庫에 就야 此와 互替고 現金을 受미 可홈第二十五條 集合出給命令을 第十四號書式(書式中에 記入미 可 事項은 出給命令과 同홈)에 依야 調製고 此에 第十五書式의 金額姓名表 添付야 金庫에 送付미 可홈第二十六條 前條에 依야 集合出給命令送付 時 第十六號書式의 通知書에 金額主管廳名及番號 等을 記入야 此 領受人에게 交付고 領受人으로 該通知書에 署名捺印케 야 指定 金庫로붓터 現金을 領受케 미 可홈第二十七條 歲出金整理기 爲야 出給命令 又 集合出給命令을 領受人에게 交付고 又 金庫에 送付기 每月二十五日限으로홈 但 法規上 出給期日의 定된 者及臨時至急을 要 者 此限에 在치 아니홈第二十八條 出給命令官은 照較의 用에 供케 기 爲야 其印鑑을 金庫에 送付미 可홈第二十九條 歲出主管廳長官은 現金先授 爲기에 當야 該年度의 아즉 開始치 아니 時 其先授 要 經費 筭定야 第十七號書式의 計筭書 作야 度支部大臣에게 送付미 可홈第三十條 度支部大臣은 前條에 依야 計筭書의 送付 受 時 此 中央金庫에 令達미 可홈第三十一條 先授金槪筭畢의 返納金으로 經費定額에 還入을 要 者가 有 時 出給命令官은 第十八號書式의 返納告知書에 返納人의 姓名 金額 年度 科目及番號 等을 記入야 此 返納人에게 交付고 同時에 同書式 附屬의 通知書 金庫에 送付미 可홈第三十二條 返納告知書 受 者 指定期日內에 此에 記載 金額을 該告知書와 共히 所定金庫에 給付미 可홈第三十三條 金庫에셔 返納告知書에 依야 現金을 領收 時 該返納告知書에 接續 領收証書 返納人에게 交付고 通知書 出給命令官에게 送付미 可홈第三十四條 現金先授官吏 第六號書式의 現金出納簿 備야 現金의 出納을 登記고 其結果에 依야 每月第十九號書式의 支撥計筭書 作야 此에 証憑을 添야 翌月十日지 所管出給命令官에게 提出야 支撥에 對 証明을 爲미 可홈第三十五條 出給命令官은 第二十号書式의 支撥簿 備고 此에 依야 每月第二十一号書式의 支撥報告書 調製고 此에 關係書類 添야 翌月二十日지 歲出主管廳長官에게 報告미 可홈歲出主管廳長官은 前項報告書에 基야 每月支撥総報告書(式㨾은 支撥報告書와 同홈) 調製야 翌月中에 度支部大臣에게 報告미 可홈第三十六條 度支部大臣은 第二十二號書式의 歲出司計簿 備고 歲出預筭額, 豫筭決定後增加額, 出給命令額, 預筭殘額을 登記미 可홈 [未完]",사회; 기사,1242
敍任及辭令,○敍任及辭令軍部軍務局騎兵課長 陸軍騎兵參領 李範七 軍部敎育局編修課員陸軍步兵參領 具懿祖 陸軍硏成學校附陸軍步兵參領 朴晶煥 陸軍幼年學校學徒隊附陸軍步兵副尉 李命求 鎭衛步兵第四大隊附陸軍步兵副尉 金煕根 鎭衛步兵第四大隊附陸軍步兵參尉 金錫夏 鎭衛步兵第五大隊附陸軍步兵副尉 李淳容 鎭衛步兵第六大隊附陸軍步兵參尉 呂淳根 仝 金承厚 鎭衛步兵第二大隊餉官陸軍二等軍司 李學來 鎭衛步兵第二大隊醫官陸軍三等軍醫 金相健 陸軍騎兵中隊餉官二等軍司 黃轍周 陸軍憲兵隊醫官陸軍三等獸醫 陶在喜 命休職 △任陸軍騎兵副領 陸軍砲兵副領 李敏燮 △陸軍步兵正尉 金龍三 仝 趙性勳 仝 林相初 仝 梁柱興 仝 方興周 任陸軍步兵參領 △任陸軍憲兵正尉 陸軍步兵正尉 張潤圭 △陸軍憲兵正尉 崔旭載 陸軍步兵副尉 金相台 仝 吳殷泳 仝 梁在昱 任陸軍步兵正尉 △陸軍步兵參尉 白忠基 仝 李升寧 仝 申奭煥 仝 安鳳洙 仝 金采煜 仝 金思錫 仝 李賢奎 仝 柳錫豐 仝 李載榮 仝 李觀稙 仝 任命鎬 仝 尹炳皓 仝 吳天默 任陸軍步兵副尉 以上三月十日依願免本官 秘書監丞 金容圭 △任秘書監丞敍奏任官三等 奉常司副提調 尹悳榮 △典膳司掌膳 李義悳 任主殿院電務課技師敍奏任官四等 △主殿院電務課技師 鄭龍瑍 任典膳司掌膳敍奏任官四等 △兼任掌禮院掌禮 秘書監丞 尹憲燮 △陞從二品 秘書監丞 金容圭 △陞正三品 四品 朴啓鉉 營繕司主事 趙瑄增 任主殿院電務課技師敍奏任官四等 △任營繕司主事敍判任官八級 內藏司主事 金宇植 △任內藏司主事敍判任官八級 六品 玉東奎 以上三月十三日,기사; 정치,695
敍任及辭令,官報六月一日●(敍任及辭令)陞正三品 正尉 李承奎光武元年十二月五日任漢城府判尹敍勅任官三等 侍講院副詹事 閔景植 五月二十九日任中樞院議長敍勅任官一等 景孝殿提調 趙秉式 ○任中樞院副議長敍勅任官一等 宮內府特進官 徐正淳 ○宮內府特進官 李根命 正二品 李裕寅 正三品 洪鐘檍 任中樞院議官敍勅任官二等 ○正二品 趙秉弼 從二品 朴容大 從二品 李萬敎 任中樞院議官敍勅任官三等 ○從二品 李宗稙 正三品 李容泰 正三品 金容元 正三品 申應善 任中樞院議官敍勅任官四等 ○正三品 李敎奭 正三品 尹履炳 參領 金用來 正三品 李時宇 正三品 李觀濟 正三品 金益昇 正三品 李敎聲 正三品 李泰稙 正三品 洪在疇 任中樞院議官敍奏任官三等 ○從三品 白樂亨 四品 劉猛 任中樞院議官敍奏任官四等 ○五品 宋達顯 六品 李德夏 六品 郭鐘錫 六品 姜鳳朝 六品 宋秀萬 六品 金永珪 六品 徐丙肅 六品 崔永運 六品 金奎弼 六品 崔錫彰 六品 宋珽仁 六品 金永佑 六品 姜正欽 任中樞院議官敍奏任官五等 ○七品 金連植 七品 李埈悳 七品 韓永福 七品 兪奭濬 八品 柳汶秀 八品 全秉薰 八品 朴來東 八品 閔泳采 八品 趙龍善 八品 趙東璇 九品 李根中 九品 鄭泰夏 九品 金鳳洙 九品 李鐘遠 九品 金相範 九品 鄭鐘洛 任中樞院議官敍奏任官六等 ○命景孝殿提調敍勅任官一等 宮內府特進官 金奎弘 ○命景孝殿提調敍勅任官四等 景慕宮提調 沈相萬 ○命景慕宮提調敍勅任官四等 宗廟署提調 金喆煕 ○命宗廟署提調敍勅任官四等 社稷署提調 趙東萬 ○命宮內府特進官敍勅任官一等 從一品 閔泳奎 ○秘書院郞 金德漢 內藏司水輪課主事 李圭煥 昭慶園參奉 李弘儀 江原道觀察府主事 金鳳在 成樂弼 任肯淳 黃海道觀察府主事 李載國 尹重求 平安南道觀察府主事 李文燮 慶尙南道觀察府主事 沈相鎭 慶尙北道觀察府總巡 任冕宰 忠淸南道觀察府總巡 金基淵 依願免本官 ○任秘書院郞敍判任官七等 九品 吳長煥 ○任內藏司水輪課主事敍判任官七等 六品 金斗星 ○任營繕司主事敍判任官八等 元泰羲 ○任昭慶園參奉敍判任八等 申佑植 ○任江原道觀察府主事敍判任官七等 六品 黃斗淵 ○吳斗泳 朴禹陽 任江原道觀察府主事敍判任官八等 ○全珉協 李泰鎬 任黃海道觀察府主事敍判任官八等 ○任平安南道觀察府主事敍判任官八等 朴桂鳳 ○任慶尙南道觀察府主事敍判任官八等 金東燮 ○任慶尙北道觀察府總巡敍判任官七等 金儀遠 ○任忠淸南道觀察府總巡敍判任官四等 任冕宰 ○朴容觀 任慶尙北道觀察府公立小學校敎員敍判任官六等 以上五月三十日,기사; 정치,1110
賀培義學校 續,至今 우리 五十年前도아니오 五拾年后도아니오 如彼文明富强國에 生지안코늑지도안코너무어리지도안코 生於二十世紀地球上世界가 以文明富强으로 競爭之時代엿고 우흐로 宗廟社稷之安危와아래로 二千万同胞生靈之存亡에 機를 우리 靑年에 兩便튼튼엇기우에무겁고도일기죨만콤 擔責엿니우리의 責任이얼마나 重且大다 云리오여보시요 우리 靑年靑年우리 先覺將有大有之望 靑年이여 忠愛二字를 心田上에 堅樹고 勇猛스럽개압흐로나아가셔 우리의 職分을다여上으로 宗社及祖上의 辱밧것을 雪恥고 下로 二千萬同胞를 水火中에셔 磐石上으로 極救여 後日他人이 敢히 奪去치못계고 自由와 無窮 福樂을 亨옵시다일 以上所論忠愛二字를 歇后히 生覺고 警醒之力이 無면 祖上의 雪恥 姑捨고 禍及子孫에 仍作他人의 永不還退之奴僕여 他人이와셔도와쥬지도못고 永永滅 禍를 受텨이니 其利害閥係 不言可想也니 可不懼哉며 可不勉哉아 然則爲祖上雪恥及極救二千萬同胞之方策이 在於何方耶아 在於土地肥沃耶아 抑亦錢穀之豊足耶아 都在於우리 靑年敎育之如何耳라 若無敎育則其忠愛二字를 從何處得之며 設或忠愛에 熱心이 有여도 處事에 矇昧것이맛치 暗夜에 無灯火고아지못 險路를 行홈과 如야 拾常八九일을그릇텨터이니 何不可以敎育爲急先務耶그 工夫 別般注意일이 有오니 諸位同胞게셔 旣是先覺入學셧스니향여죠고마 利益과 速 効力을바라지마시고 恒常巨大 利益과 양遠 効力을바라고 工夫시오 未完,기사; 사회,698
地方消息,▲十日水原發電을 據즉 日本中隊 卽時積城을 包圍고 威壓砲擊엿스나 義兵의 形跡이 無더니 日兵이 追後偵探즉 三百名以上이 隊伍 整齊고 銃器 携帶고 昨日에 麻田朔寗方面으로 向往얏다 義魁 權俊이라고▲十日鳥致院發電을 據즉 同日午後五時에 秋風嶺附近某村에셔 義兵斥侯中에 二名이 日兵의게 捕捉되얏고 當夜에 義兵이 襲來 貌樣이 有을 同驛日巡査가 報告 太田守備隊長이 派兵排置얏다고▲全州地方人民이 時局에 對야 平穩고 斷髮令에 對야 觀察使가 大段히 勸諭여도 削髮 者가 少고 忠淸南道接近地方에 排日思想을 抱 者가 時時出入야 民心올 煽動다고▲十日光州발電을 據則十日午前六時에 義兵四十餘名이 淳昌取扱所를 襲擊얏대 日本補佐員과 取扱所員들은 光州로 避亂얏고 義兵에 數爻 數百名이라고▲去月二拾六日에 鎭川廣惠院東南拾里梧山에셔 義兵과 日兵이 遭遇하야 接戰얏대 死傷은 未詳이라고▲原州東方約二拾里葛谷高林에 義兵約四百名이 聚集얏 葛谷셔 二拾里許高地山下에 二十名收容만 廠舍五個와 拾五米突되 膝射◈兵濠와 天然鹿柴를 搆築 同日에 高日兵一隊가 來到射擊 該地에 赴役던 義兵은 一齊히 退却엿다더,기사; 사회,583
歐米人鑛業,●歐米人鑛業我國內에셔 目下 歐米人의 經營 鑛山은 如左다더라△金城鑛山 獨逸人이 曩者에 宮內府에셔 許可를 得 者인 鑛物産出額이 極少다 △甲山銅鑛 米人 骨佛安이 宮內府에셔 許可를 得 者인 其地域은 甲山全部인 故로 當局者가 昨年붓터 五個年間에 鑛區를 撰定하라 하얏다 △厚昌銅鑛 伊太利人會社가 宮內府에 許可를 得 者△楚山金鑛 英國上院議員 하리스 氏가 農商工部에 許可를 得 者인 其鑛區 五處라더라△昌城鑛山 佛人 살라렐이 英米德 三國人과 共同야 宮內府의 許可다를 得 者인 鑛區에 制限이 無 △煕川金鑛 米人 뎨슈와 日本人 津田 兩人이 農商工部에 許可를 得 者△雲山鑛物 米人이 宮內府에 許可를 得 者인 産出物은 金銀以外各種 鑛物이라 △龜城金鑛 英人이 殷山鑛代에 農商工部에 許可를 得 者△宣川金鑛 獨逸人會社가 農商工部에 許可를 得 者△遂安金鑛 英國人이 各國人과 共히 宮內府에 許可를 得 者인 其地域은 四十里오 産物은 金以外에 各種 鑛物이라더라△江陵黑鉛鑛 米人 모리스가 農商工部에 許可를 得△咸昌黑鉛鑛 獨逸人이 農商工部에 許可를 得 者△靑山黑鉛鑛 英國人 카테스가 農商工部에 許可를 得 者,사회; 기사,572
叙任及辭令,○叙任及辭令  ○五月七日任道主事叙判任官四等  山岡三夫○六月三日任稅關鑑定官補叙判任官五等  渡邊藤平○六月五日財務監督局主事井本磊志  任財務署主事叙判任官五等△財務署主事上戶庸八郞  任財務監督局主事叙判任官二等△財務署主事緖方豐吉  任財務監督局主事叙判任官三等△財務署主事阿部宗平  任財務監督局主事叙判任官五等△財務監督局主事豊田熊吉仝安達乙熊  任財務署主事叙判任官三等△任臨時稅關工事部技手叙判任官四等  山田茂○六月六日任  穆陵叅奉叙判任官五等  宋秉疇觀測所技手永峰治定  右 觀測所長의 報告를 據즉 該員이 不由長官고 擅離職所은 官吏服務規律에 違犯이되얏기 是以로 譴責에 處 事    六月四日郡主事都秉洪  仝司空湜  免本官右 慶尙北道觀察使李忠求의 報告書를 據즉 該員等이 多月曠職에 不爲視務라얏기 是以免本官    六月六日柳  奭  李元泰  觧臨時  帝室有及國有財產調查局地方調查泒員△趙鍾鳴  禹憲植  命臨時  帝室有及國有財產調查局地方調查泒員△裁判所繙譯官補岡原七郞  補平壤地方裁判所繙譯官補△裁判所繙譯官補吉町石太郞  補咸興地方裁判所繙譯官補△裁判所繙譯官補福島二一  補公州地方裁判所繙譯官補△裁判所繙譯官補榎本明次  補光州地方裁判所繙譯官補△裁判所繙譯官補有馬泰吉  補晋州地方裁判所繙譯官補△裁判所繙譯官補小野登  補海州地方裁判所繙譯官補△裁判所繙譯官補林久次郞  補大邱地方裁判所繙譯官補    以上六月五日,정치; 기사,653
曹氏寄書,⊙曹氏寄書 茂朱東面道洞居曹文承氏가 本社에 寄書얏 貴社에諷剌論黜은 一國에 針砭이오 萬人에箴規라 世上에 貪墨이 何官不有며何班不能야셔 又出海稅査檢名色而作獘이온지 他處는 勿論고 忠南이 尤甚이오 忠南에도 恩津江鏡論山이 尤甚인 所謂檢査官이 政府叙任之官乎아 忠南查檢은 全州吏輩로셔此任을 圖得야 巡檢八七名을 帶率고 出沒浦口야 原捧章程外에 船商을 捉去며 旅閣主人을 招致야稱以査檢文書라고 捕縛行威며笞棒行令야 或五百兩三百兩七八百兩을 勒討야 曰吾圖此任時에 京費가 萬兩府納이 七千兩인즉 章程外加濫이라도 閉眼야쥬기로 事由로 巡檢을 吾能使之로라며 沿江十餘郡이 莫敢誰何니 是可曰有法乎아 生은 峽中措大라 隣里諸人이 勸我야 曰海島에 往야 葛致三同만 買來면 洞中이 分야 農饌을기에 入島야 葉六十兩에 葛魚三同을 貿載來泊江鏡터니 凡七次를 海稅로 討索는바 每同의 四兩式十二兩을 七次見奪니 八十四兩이라 海之爲物이 浩浩茫茫 故로 海稅도 如是浩茫지 如生措大一次島行에 匏產이 無存니 洞人도 此心을 難知라 無處呼訴이옵기 仰天一笑고 付上一書오니 揭載新聞의 砭于有眼不見之人옵소셔,기사; 사회,555
