dcterms:title,dcterms:abstract,nlon:keyword,length
THE PEDDLERS´ CLUB IN TRUBLE,"THE PEDDLERS´ CLUB IN TRUBLE.On the Emperor´s birthday, the Crown Price gave $200.00 to the Peddler´s Club to celebrate the anniversary. The next day Mr. Yi Kitong and his friends fifth or more in all, went to a temple outside of the Little East Gate where they spent $80.00 of the sum in having a good time. This censurable conduct on the part of the chief officer of the Cub caused a great deal of siaastisfaction among the members, over two hundred of whom intended to withdraw themselves from the association. But the event of the 11th inst. in the Palace prevented them from carr◈ing out their intention. Jeikook Sinmun",기사; 정치,624
政府照會度支,●政府照會度支議政府에셔 度支部에 照會되 前佛國駐箚本國公使 金晩秀氏가 露淸銀行巴里代店에 償還零額 六千六百八十九圜의 利息幾何와 自何年月日起筭을 詳探示明一事로 本府에셔 貴照會을 接准야 統監府에 業經照詢얏더니 現接該府復文 則 前佛國駐箚貴國公使 金晩秀氏가 貴國度支部大臣手形으로 露淸銀行巴里代店으로붓터 借用 佛貨 三萬二千六百法의 殘額及利息調査一事로 客月二十六日 貴照會를 接到야 露國総領事에게 業經照會인 바 該手形金額 佛貨 三萬二千六百法의 對 利息은 手形振出日 千九百二年一月四日로붓터 同年八月二十七日지 年五分利로 千四百九法四十五參과 八月二十七日에 一萬三千七百三十法을 支撥 後 殘額 一萬八千八百七十法과 此에 對 利息은 同月붓터 本月十八日에 支撥기로 假定야 四千四百五十六法四十二參 以上三條 合計 佛貨 二萬四千三百七十五法八十三參에 至 意로 別紙와갓치 露淸銀行代理店호룸린가 商會의 計筭書를 露國総領事가 送來얏스니 右計筭에 對야 異意가 無면 該金額이 다시 實際支撥日지 利息을 加筭야 當府에 送交라 얏기 准此照會니 照諒迅撥라 얏더라,사회; 기사,531
隆熙四年度歲入歲出総豫筭(續),○隆熙四年度歲入歲出総豫筭  （續）第五欵  輸出牛檢役所  金一萬七千                九百九圜  第一項  俸給  金六千五百八十圜  第二項  廳費  金九百圜  第三項  修理費  金六百圜  第四項  旅費  金七百九十圜  第五項  雜給及雜費  金二千九百                十六圜  第六項  舍宅料  金千六百二十圜  第七項  事業費  金四千五百三圜第六欵  森林保護費  金一萬四千七                百五十圜  第一項  森林保護費  金二萬四千                七百五十圜第七欵  土地購入費  金七千八百圜  第一項  土地購入費  金七千八百圜第八欵  商工業調查費  金一萬五千圜  第一項  商工業調查費  金一萬五                千圜第九欵  日英博覽會出品費  金二萬                圜  第一項  日英博覽會出品費  金二                萬圜第十欵  共進會出品費  金九千五百                十九圜  第一項  共進會出品費  金九千五                百十九圜第十一欵  平壤釭業所營繕費  金三                萬六百圜  第一項  平壤鑛業所營繕費  金三                萬六百圜第二欵  平壤鑛業所事業擴張費                金六萬三千圜  第一項  試錐事業費  金四萬三千                圜  第二項  採炭事業擴張費  金二萬                圜第十三欵  水產調查費  金四千六百                八十五圜  第一項  水產調查費  金四千六百                八十五圜        農商工部所管合計金六十二        萬四百十六圜      歲出臨時部合計金五百五十二      萬三百九十八圜        歲出總計金二千九十一萬五        千六百七十八圜各特別會計豫筭隆熙四年度內部所管慈惠醫院度支部所管印刷局煉瓦製造所公債金農商工部所管平壤鑛業所의 各歲入歲出豫筭額及其欵項의 金額은 別冊歲人歲出豫筭에 據이 可홈        （未完）,정치; 기사,978
沿海航路條約書,日韓兩國政府 韓之國産業을 發達고 貿昜을 增加케기 爲야 韓國沿海及內河에 日本船舶을 航行케 必要 認知야 大日本帝國特命全權公使林權助와 大韓帝國外部大臣李夏榮은 相當 委任을 各受야 左開約定을노라第一條 日本國船舶은 本約定의 規定을 依야 以貿昜目的으로 韓國沿海及內河의 航行 事를 得 但開港場間의 航行은 本約定을 不由第二條 沿海及內河航行의 從事코져 日本船舶은 日本領事舘을 經由야 船舶所有者의 名稱種類及載量과 其航行區域을 韓國海關의 書呈야 憑票를 受 事憑票 受取 日로 爲始야 三箇年間効力이 有 事第三條 日本船舶은 憑票 受 時의 如左金額을 韓國海關의 付納 事百돈以下之西洋制船舶은 十五元日本制船舶은 十五元百돈以上五百돈以下之西洋船舶은 五十元五百돈以上千돈以下之西洋制船舶은 一百元千돈以上西洋制船舶은 一百五十元第四條 日本船舶은 自由로 其航行區域內의 航行을 得하되 但天災及事變이 有 境遇와 韓國海關의 特許를 受 外의 韓國領土外의 赴 事를 不得第五條 日本船舶은 航行中의 憑標을 必携帶야 韓國海關地方官과 地方官이 委任 洞長面長의 쳥求가 有 時 此를 揭示 事第六條 日本船舶所有者 船着場의 倉庫建築 土地를 借用 事를 得홈右者 韓國海關의 許可를 受야 沿岸의셔 建造準頭 事를 得홈第七條 日本船舶이 本約定의 違背 時의 韓國海關이 事實를 調査야 重犯者 其憑標를 還收고 下付을 拒絶 事를 得홈第八條 日本國船舶이나 其乘員이 本約定이나 其他規定을 違反든지 犯罪 時의 日本領事舘은 條約及日本法을 依야 處分홈第九條 本約定의 有効期 自調印日로 起算하야 滿十五箇年으로 定하고 滿期後의 商議協定을 得 但將來 韓國의 航海業이 發達되면 兩國政府 右期限內라도 協議하야 約定을 改定,기사; 사회,854
班痼兵悖,●班痼兵悖  廣州松波江에 船業沙工들이 前日에 該附近人民들이 船隻을 買給고 食料을 豫給야 近方行人은 船賃을 不給고 來往며 沙工을 對야 極히 賤待더니 近年에 買給얏든 船隻도 舉皆破沒고 船人給料도 無 故로 該處平常人民들이 各其船隻을 自備야 自由營業 舊習이 尙存야 兩班들과 兵丁官屬軰들이 一向船人을 賤待며 船賃을 不給 故로 該船業人들이 怒甲移乙야 遠方行旅와 殘民에게 重貰를 添収 每人에게 二三十錢을 討索 獘가 有야 行客이 大段不便더니 該地耶蘇敎人들이 文明 法을 依야 船業을 開始고 農商工部에 認許를 得야 每人船貰를 一錢五里로 乘船票를 製야 買票渡船케지라 公衆人民은 其公平 法을 穪賀오직 兩班과 兵丁官隷軰들은 一向頑拒며 反以冤謗더니 日前에 何許兩班이 船人을 呼令되 兩班에게도 船貰을밧느냐며 威脅이 無所不至지라 船人이 答기를 外國人은보면 戰慓不敢視고 本國殘民을 對야 如此無理히 壓制賤待오니 國家形便을 何不思之오 姑不復言고 行且去矣라얏더니 又再昨日에 騎兵中隊叅校朱興均氏가 率兵丁一名고 出他還路에 又如是呼令고 船人一名을 京城으로 勒執押來다가 中路에셔 一夜을 留宿며 酒食餅價三十餘兩을 討索고 放還얏다고 其不法行爲를 人多痛憎다더라,사회; 기사,623
Slandering the American Man—“The American man problem,"Slandering the American Man—“The American man problem puzzles all,” says Truth. “The American man is, apparently, objectionable to the American woman, for when the latter is sufficiently rich she generally marries a European. Though the pick of European men are prepared to marry rich American women the European women can seldom be induced to marry an American. The deficiencies of the American man must be serious, for they appear to render him objectionable alike to the women of his own country and of other countries.”",정치; 기사,523
地方消息一通,●地方消息一通△大邱電을 據 則該地警察署巡查가 慶州郡內에셔 義魁權秉鎬以下三名을 逮捕얏다고△太田電을 據 則本月十五日夜에 永同警察分署所管內에 義徒가 出現야 銕道 破壞얏다고△本月九日에 日兵이 忠州老隱面에셔 義徒의 斥候을 追擊 則松井中으로 逃入 故로 仍히 追踪야 松井中에 突入얏더니 該徒가 龍堂山方向으로 敗走얏다고△再昨夜에 太田松若間京釜鉄道가 義徒에게 破壞되얏 京城으로 發行 滊車가 該鉄道를 修理 後에 僅히 開通되얏다고△本月六日에 延安守備隊의 分遣隊가 延安東北方에셔 義徒十五六名과 交戰얏다고△本月七日에 咸陽守備隊의 日兵이 居昌北方에셔 義徒畧百二十名과 交戰얏다고△本月七日에 成川守備隊가 該地北方에셔 義徒卄名과 交戰얏다고△本月八日에 砥平守備隊가 洪川東方에셔 義徒와 交戰얏다고△江景守備隊에셔 泒送 日兵이 恩津東南方에셔 義徒九名과 交戰하얏다하고△本月十日에 慶州守備隊에셔 泒送 日兵이 慶州東南方에셔 義徒二十名과 交戰하얏다하고△本月十日에 鎭安守備隊日兵이 該地東南方에셔 義徒二百五十名과 三時間交戰하얏다하고△本月十二日에 加平分遣所日兵이 加平南方河岸에셔 義徒와 交戰얏다고△江界守備隊에셔 偵察次泒送 日巡查一名이 厚昌東南方에셔 義徒에게 負傷얏다고△本月十三日에 昌平分遣所에셔 泒送 日兵이 平昌西北方에셔 義徒三十名과 交戰얏다더라,사회; 기사,651
THE ANNEXATION OF HAWAII,"SPECIAL TELEGRAMS.(FROM OTHER PAPERS.)THE ANNEXATION OF HAWAII.Tokyo, July 18. The terms of the bill relating to the annexation of Hawaii which passed through the U. S. Congress have been officially communicated to the Foreign Office.Tokyo, July 18. The epitome of the official report upon Hawaiian Annexation Bill is as follows :?The Hawaiian Government having consented to cede the islands to America absolutely unconditionally, the two Houses of the U. S. Congress have adopted the following resolutions :?1.The cession of the Hawaiian Islands and their incorporation into the United States is approved, the islands being made a territory subject to the sovereignty of the United States and the whole of the property possessed by Hawaii becoming bested in the United States.2.The treaties between Hawaii and other countries shall cease to be binding. The treaties now in force shall be replaced by the existing treaties or treaties to be concluded in the future between the United States and other countries. The existing relations between Hawaii, the United States and other countries in regard to customs affairs shall remain unchanged.3.All the national loans or indebtedness of Hawaii shall be undertaken by America.4.The immigration of Chinese into Hawaii shall hereafter not be permitted",정치; 기사,1296
地方消息,▲本月十二日榮川郡小太白山北麓에 集合 義兵이 約二百名인대 此를 日軍이 探知고 急擊즉 義兵의 主力은 영春方面으로 退却하고 其殘餘 四方山谷으로 散走얏다고▲去七日全州東方百二十里許에셔 義兵二百名이 急行을 日兵이보고 卽時射擊즉 義兵이 退却다가 重丸致死者가 五名이라고▲去拾三日任實郡渴馬洞及唐동重에셔 義兵約八十名이 駐屯하야 徒黨을 召集中이라고▲本月六日竹山郡에셔 義兵과 日兵이 交戰다가 義兵의 主力은 該郡岩端方面으로 退却고 一部 長湖院으로 退却얏대 義兵에 死傷이 十五名이라고▲本月十七日午後九時頃에 義兵約四拾名이 廣州附近에 在 日本人農場을 襲擊야 貯藏糓類及家財를 掠奪고 家屋은 放火얏다 報道 京城警察署에셔 接하고 巡査部長官及通譯이 十九日朝에 出張얏다고▲去十七日忠州北方約八十里泉浦에셔 義兵約二百名이 日軍輸送船을 襲擊 日兵은 呂州船夫로 同히 長湖院으로 無事到着고 利川守備隊將校以下二十五名이 急行얏다고▲十六日忠州西北約四十里老隱面附近에셔 義兵三百名과 日兵이 交戰얏대 義兵은 北方으로 退却고 義兵死傷이 十八名이라고▲十七日晉州七佛寺及靑곡寺附近의 義兵百餘名이 日兵과 交戰다가 義兵은 黃柳津方면으로 退却얏 義兵의 死傷이 二拾二名이라고 日兵은 靑곡寺 燒却얏다고▲同日全羅道智異山附近에셔 義兵이 日兵과 交戰야 日兵이 義兵의 魁首洪康順以下拾五名을 殺傷얏다고▲載寧地方에셔 義兵約四百名이 蜂起기로 日本人은 砂利院으로 引揚고 該地理事廳에셔 黃州軍隊에 通告얏대 該軍隊를 派遺터이라고▼拾七日鐵原郡附近에셔 義兵과 日兵이 互相衝突야 午後三時로 四時지 戰鬪엿대 義兵의 死傷이 四十名이오 其餘 四面으로 退去엿다더라,사회; 기사,818
南民請願,●南民請願全羅南北道儒生 趙學洙 李豊榮 等이 度支部에 請願하얏 當今 米糓之價 每斗에 只爲葉錢 一兩六戔二分也오 布木之價 每疋에 多至五兩三戔也오 各郡結稅收捧之地에 每結雜費 十餘兩은 姑捨勿論而只以葉戔 八十兩言之則 糶米穀而納稅者 至於 五十斗也오 賣布木而應稅者 過於十五疋則 米糓布木價之至賤이 非歲之登이라 是稅之促也니 是以耕者 詹石無儲고 織者 杼柚皆空니 民何聊生乎아 現今 貨幣未整에 京鄕異同야 以錢換錢이면 白錢 一兩에 不過葉錢 五錢也오 葉錢 一兩이 實爲白錢 五兩則 此是朝野所共知而不分葉白之加減고 專以葉錢 八十兩捧稅則 葉錢 八十兩에 實爲白錢 一百六十兩也니 莫非王土此豈均稅之道乎아 ◈察 朴齊斌氏가 葉錢 四十兩 白錢 四十發訓捧稅云이고 安鍾悳氏 結戶錢 每百頭 二十兩式 權減之意訓令 故南土病民이 庶幾復甦矣러니 兩使召還後令不施行 故不勝痛寃야 上訴于政府則 指令內往訴于度支部 故玆敢齊聲仰籲니 伏乞上達天陛고 下軫民隱야 如他省白錢稅納之例而發訓하라 하얏 指令內至重者 正供也오 莫大者 ◈獘也라 以銅以葉으로 分爲此境彼界가 已是朝家之嚴禁이거든 況爲私相與受 專用葉而不用銅고 公錢收納은 欲貿他道而取剩이 豈有是理리요 貨幣厘正이 只隔數朔니 以銅以葉을 一從市上行用而收納야 以待歸正爲宜事라 하얏더라,사회; 기사,608
